Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
AT1G01010	0.0986633561611449	0.210550096239029	1.02918949970704	0.0391339148656796	6.58455165865296	1.05138536240233	1.19946092703203	2.30108481533452	1.03294262688686	1.36074124949693
AT1G01020	4.7546592472663	1.22755187697581	2.06752532313944	0.642201703813704	0.251054685833534	1.69519255509335	0.243653510153822	0.801352092322665	0.612927596124065	2.46732049412988
AT1G01030	1.11760772599459	7.89581125049183	0.956965276077703	1.23801098850071	2.96827933625579	0.153320683749427	0.379965550554081	3.16153490978568	3.72265658585587	0.226570784612652
AT1G01040	1.06884498176374	0.294579688188707	3.40027931988495	3.93687588592511	1.95724997142433	0.372208564663028	0.400043480981234	1.71091904386042	0.414422169435159	0.623345572873527
AT1G01046	0.838418236990971	0.848233041667018	1.87800400024535	0.764093058342389	2.47430382408049	4.37231975295424	2.12476126963117	5.08071728074139	8.3305694342367	0.186335442886911
AT1G01050	1.8869301437592	1.36102811908643	0.140564155052616	0.788118099376164	2.17907312176586	1.6025683839235	10.1048237935092	3.51894967860727	2.36468769142782	0.541540255286026
AT1G01060	0.481020614511805	1.84776069304179	1.03021519111941	1.31658634423045	1.78857118480261	0.473618557197715	0.694081513616373	1.48610972163966	4.46414570610912	1.44427961072534
AT1G01070	3.23249192125584	1.2997003407843	3.99239158514557	0.458522803993675	0.887396417871761	1.06388336586717	1.09635950847033	0.694147460884384	1.89203969779703	0.954264329770914
AT1G01080	0.896027161958261	2.43011236912781	5.45454767723056	6.65412430014143	0.573659135534317	2.72860509484319	0.349401959921727	1.58412956272884	1.69862754185915	6.48841413447222
AT1G01090	0.621127222883595	1.25488228848112	0.743307123283935	1.02543567403114	1.29713689066413	0.946133816303406	0.740942135957223	1.58299366872941	6.39035186802742	1.43468690967136
AT1G01100	1.52222043205218	0.466200169231965	0.200625717211695	0.704974874320839	0.762401343702322	2.6200698186215	1.74218718467858	0.75979271201478	1.14028167607774	0.576533030073632
AT1G01110	0.360176966133371	3.0235372296886	0.641221760207946	1.68222340529268	0.38886104803389	1.73948978527301	0.503722722685233	4.49254155024298	4.10423527376794	0.923922149847356
AT1G01120	0.308356504185003	10.3671989216457	0.417342940622465	6.59706696950678	1.45120569646151	1.78947390898381	0.916910389066923	0.211514385085333	0.633881094583822	0.873790826506608
AT1G01130	0.977699950002315	1.36064753931982	1.06128981697825	1.16421856092914	1.15988141693924	0.0841379985386931	0.767549569201903	1.01440017089027	0.859180273885658	1.71084209546048
AT1G01140	1.44912267434964	2.74176541499055	0.434983529140439	0.554331102796608	0.426436570308319	2.90219404084405	1.6885505689022	0.443733543046597	1.96093244714692	1.82387722845531
AT1G01160	4.88270446221849	4.3392878437894	0.284622372684295	0.99381839028723	1.2477675091618	2.91040909038438	0.759697912507556	0.64531528817074	1.2930166471481	0.780409613153696
AT1G01170	0.434266690115848	1.12535251525549	6.39727997174009	0.32561230753444	5.28049912814569	1.44388541878767	1.08194918215003	5.11916316930657	1.03861146910818	0.543134035904763
AT1G01180	1.5006700904427	1.36534787314791	0.175724727787755	1.06317552115584	0.51531597896938	1.48339692169275	0.468640755469604	2.7144104244098	1.43515451547766	3.36034417198444
AT1G01190	1.45267863643449	0.618240576665373	1.85535605511231	1.44640815224921	2.47162700192127	1.48223173638649	0.576555115945693	0.860530425990245	0.479936080109366	0.517046583409517
AT1G01200	1.10070778305897	0.938891929534488	4.25070114378489	2.43763558337232	2.00539460222792	1.60114158417819	2.76782164630869	0.437314401748829	0.556948918498813	1.2476151118592
